No;Þirket Adý
55;ASE MAKÝNE ÝNÞ. ELEKTRÝK SAN. VE TÝC. A.Þ.
56;ASIA HOME
57;ASTEKNÝK MÜHENDÝSLÝK
58;ATMAT SP. Z O.O.
59;AYDEMÝRLER GERGÝ TAVAN
60;AYES ÇELÝK HASIR VE ÇÝT SAN. A.Þ.
61;AYRINTI REKLAMCILIK METAL DEKORASYON TÝC. LTD ÞTÝ.
62;AZGEN TURÝZM SAN. VE TÝC. LTD. ÞTÝ.
63;BABA YAPI SAN. TÝC. A.Þ
64;BAKSAN AMBALAJ VE KÝMYEVÝ MADDELER SAN TÝC LTD ÞTÝ
65;BAÞAT TEKSTÝL ÝNÞ.VE ÝNÞ.MALZ.ÝZO.SAN.DIÞ TÝC.LTD.ÞTÝ.
66;BAÞOÐLU ORMAN ÜRÜNLERÝ SAN. VE TÝC. A.Þ.
67;BATI ÞÖMÝNE LTD.ÞTÝ.
68;BAUMEES YAPI KÝMYASALLARI ANONÝM ÞÝRKETÝ
69;BEKAERT ÝZMÝT ÇELÝK KORD SANAYÝ VE TÝCARET AÞ.
70;BEMAKS METAL ÝNÞ. ÝMAL. SAN. VE TÝC. A.Þ.
71;BESE METAL ÜRÜN. ÝNÞ. TAAH. PLAST. TÝC. VE SAN. LTD. ÞTÝ.
72;BEÞEL CAM PVC ÝNÞ. SAN. VE TÝC. LTD. ÞTÝ.
73;BETEK BOYA VE KÝMYA SAN. A.Þ.
74;BETON ASFALTI S.R.L.
75;BEYSAN ALAYBEYOÐLU ÝNÞ.MAD.SAN VE TÝC A.Þ.
76;BIÇAKÇILAR LAMINAT VE ORMAN ÜRÜNLERÝ SAN. TÝC. LTD. ÞTÝ.
77;BÝLSAN KAUÇUK PLASTÝK SAN. VE TÝC. A.Þ.
78;BIN AMAN PLASTIC INDUSTRIES
79;BIOTEL SRL
80;BÝRLÝK TEL ÖRME ÝNÞ. NAK. MAK. SAN. TÝC. LTD.ÞTÝ.
81;BOS LLC
82;BOSTÝK KÝMYA SANAYÝ VE TÝCARET A.Þ.
83;BOYUT ÇELÝK KAPI DEKORASYON MOB. ÝNÞ. SAN. TÝC. LTD. ÞTÝ.
84;BRANGO ÇELÝK KAPI SAN. VE TÝC. LTD. ÞTÝ.
85;BRODECOR YAPI MALZEMELERÝ DIÞ TÝC. LTD. ÞTÝ.
86;BRUCE WOODS (DUBRAVA LLC, KRONA LLC)
87;BUILDINGSMART TÜRKÝYE
88;BURAK GALVANÝZ
89;BYTECH BOYA VE YAPI KÝMYASALLARÝ SAN. VE TÝC.LTD.ÞTÝ
90;ÇAÐRI TEL ÇÝT HAFRÝYAT EMLAK ÝNÞ. TÝC. SAN. VE LTD. ÞTÝ.
91;ÇAÐSAN MERDÝVEN VE ERÝÞÝM EKÝPMANLARI
92;ÇAPAR YAPI ÝNÞAAT YALITIM SAN. VE TÝC. LTD
93;CARAN KÝMYA SAN. VE TÝC. LTD. ÞTÝ.
94;CC VERDÝ KUZÝNE KÜÇÜK EV ALETLERÝ FIRIN DAYANIKLI TÜKETÝM MALLARI SAN. TÝC. LTD. ÞTÝ.
95;CEMAKS MÜHENDÝSLÝK MAK. ÝNÞ. ÝMAL. SAN. VE TÝC. A.Þ.
96;ÇETÝN MÜHENDÝSLÝK MAKÝNE ELEKTRÝK ÝNÞAAT TESÝSAT TAAHHÜT TÝC. VE SAN. LTD. ÞTÝ.
97;ÇETKA DEKORATÝF TAÞ ÝNÞ. TAAH. ÝTH. ÝHR. SAN. TÝC. LTD. ÞTÝ.
98;CEYLAN BRANDA SAN.TÝC.LTD.ÞTÝ.
99;CEYLANLAR PERFORE
100;CHANGZHOU TITAN DECORATION MATERIALS CO., LTD.
101;CHAOZHOU CHAOAN DAYAO BATHROOM EQUIPMENT INDUSTRIAL CO.,LTD
102;CÝHAN MERT TAÞDELEN
103;CIKO MIDDLE EAST
104;ÇKS KÝMYA SANAYÝ VE TÝCARET AÞ.
105;CLEVER POLÝMER YAPI KÝMYASALLARI A.Þ
106;CLIC QATAR TRADING CO. W.L.L.
107;CNBM INTERNATIONAL CORPORATION
108;COHUI ADHESIVE
109;CONCERTINA RAZOR WIRE JÝLETLÝ TEL PANEL ÇÝT METAL MAK. ÝNÞ GIDA ÝTH. ÝHR. SAN. TÝC. LTD. ÞTÝ.
110;CONSTRUCTION CONTRACTORS ASSOCIATION OF ETHIOPIA
111;CONSTRUCTION INNOVATIONS LLC
112;CR ENDÜSTRÝ GAYRÝMENKUL SAN. VE TÝC. LTD. ÞTÝ.
113;DAMLI MEKATRONIK SÝSTEMLERÝ ÝNÞ. YAPI MALZ. ÝMA. ÝTH. ÝHR. VE GIDA SAN. TÝC. LTD. ÞTÝ.
114;DECKER - COMPOSITE CONSTRUCTION MATERIALS
115;DECO ALA POLÝÜRETAN ÜRETÝM VE DEKORASYON SÝSTEMLERÝ SAN. TÝC. LTD. ÞTÝ.
116;DECTOR LLC
117;DEKO VÝZYON POLÝÜRETAN YAPI ÜRÜNLERÝ
118;DEKONÝL ÝÇ VE DIÞ TÝC.LTD.ÞTÝ.
119;DEKOPOL KÝMYA ÝNÞ. MÝMARLIK MÜH. NAKLÝYE EMLAK TRZ. SAN. VE TÝC. LTD. ÞTÝ.
120;DEKORAFENCE PLASTÝK SAN. TÝC. LTD. ÞTÝ.
121;DELFIN SP.Z O.O.
122;DEMÝRCÝ MAKÝNA
123;DEMÝRHAN TEL MAMULLERÝ ÝNÞ. GIDA VE PLASTÝK SAN. TÝC. LTD. ÞTÝ.
124;DEPREM ÝZOLASYON DERNEÐÝ
125;DERBY KÝMYA SAN. VE TÝC. A.Þ.
126;DEREVO DIÞ TÝC. A.Þ.
127;DESEN RULO SANAYÝ VE TÝCARET LÝMÝTED ÞÝRKETÝ
128;DÝZAYN TEKNÝK BORU VE ELEMANLARI SAN. VE TÝC. A.Þ.
129;DMD MODULAR P.S.A.
130;DOÐUÞ FIRÇA TURÝZM ÝNÞ. SAN. VE TÝC. LTD. ÞTÝ.
131;DOHA PLASTIC
132;DÖNEM MAKÝNA (DMMET GROUP)
133;DONGGUAN HONGFA STEEL STRUCTURE MATS. CO.,LTD
134;DORSET YAPI SAN. TÝC. LTD. ÞTÝ.
135;DÖRTDÝVAN ÇERÇEVE VE MACUN SAN.TÝC.LTD.ÞTÝ.
136;DOWNWASTE URBAN DISPOSAL SOLUTIONS
137;DUPLAS MANTAR / DUCORK
138;DÜZCE CAM SANAYÝ VE TÝC. A.Þ.
139;DYO BOYA FABRÝKALARI SAN. VE TÝC. A.Þ.
140;EB ÝTHALAT TAAHHÜT ÝNÞ. MALZ. SAN. TÝC. LTD.ÞTÝ.
141;ECOLIGHT LTD.
142;ECOPOLIMER LLC
143;EFECE GALVANÝZ DEMÝR ÇELÝK SANAYÝ VE TÝCARET A.Þ.
144;EFECTIS ERA AVRASYA TEST VE BELGELENDÝRME A.Þ.
145;EGELÝPLAST PLASTÝK
146;EGEPANEL ENDÜSTRÝ ANONÝM ÞÝRKETÝ
147;EKÝP SPOR EKÝPMANLARI
148;EKON CAM SÝSTEMLERÝ SAN. TÝC. LTD. ÞTÝ.
149;EKÞÝOÐLU KANEK ÝNÞ. METAL SAN.VE TÝC. LTD. ÞTÝ.
150;ELBA BANT SAN. VE TÝC. A.Þ.
151;ELBE ENDUSTRI SAN. VE TIC. A.S.
152;ELEX DIÞ TÝCARET SAN. VE TÝC. LTD. ÞTÝ.
153;ELF GRUP ASANSÖR SAN. TÝC. FATÝH ÞAHÝN
154;EMEK KAPI SÝSTEMLERÝ
155;ENOLGAS BONOMI S.P.A.
156;EPSDER - EPS SANAYÝ DERNEÐÝ
157;EPSMAKÝNA ELK. ELEKT. ÝNÞ. SAN. TÝC. LTD. ÞTÝ.
158;ERGÜVEN EL ALETLERÝ - MEHMET ERKAN ERKURT
159;ERKAN MÝMARLIK ÝNÞ. DEK. VE TÝC. LTD.ÞTÝ
160;ER-MO NALBURÝYE
161;ESCO TEKNÝK ÝNÞAAT TAAH. NAK. SAN. TÝC. LTD.ÞTÝ.
162;ESKA METAL SAN. VE TÝC. A.Þ
163;ESKÝTAÞ MÜHENDÝSLÝK ÝNÞ. VE ÝNÞ. MALZ. MOBÝLYA NAKL. AN. TÝC. LTD. ÞTÝ.
164;EUROSTEP
165;EVEREST ÇELÝK KAPI SAN. TÝC. LTD.ÞTÝ.
166;EVO ÇÝT SÝSTEMLERÝ SAN. VE TÝC. LTD. ÞTÝ
167;EXAKT REAL HOLDING GMBH
168;EXPORT SUPPORT CENTER OF TVER REGION
169;EZGÝ YAYINCILIK
170;EZÝS ÝNÞAAT SAN. TÝC. LTD. ÞTÝ.
171;F&M UNIVERSAL COMPANY ÝÇ VE DIÞ TÝC. LTD. ÞTÝ.
172;FATÝH FERFORJE
173;FBRUSH LLC
174;FD GRUP MAKÝNA
175;FEDERICA BUGATTI LLC
176;FENCE COMPANY A.Þ.
177;FERPLAST PLASTÝK FERFORJE SÝSTEMLERÝ
178;FINE MATTRESS
179;FINEAGLES ADVANCE ENGINEERING
180;FIRECER - ÖZBEN
181;FLEKSSÝT BÜRO MOBÝLYALARI SAN. TÝC. A.Þ.
182;FLOTEKS PLASTÝK SAN. TÝC. A.Þ.
183;FMS TESÝS VE YÖNETÝM HÝZMETLERÝ SAN. VE TÝC. A. Þ.
184;FORM ENDÜSTRÝ TESÝSLERÝ
185;FUJÝ MÜHENDÝSLÝK ÝNÞAAT SAN. VE TÝC. A.Þ.
186;FUNDA-TRIMBOX
187;GEMON GIDA ÝÇ VE DIÞ SAN. TÝC. LTD. ÞTÝ
188;GENÇLER TEL ÜRETÝM PAZ. TÝC. LTD. ÞTÝ.
189;GEOCLAY MADENCÝLÝK ÝTH. ÝHR. SAN. VE TÝC. LTD. ÞTÝ.
190;GEOMAS GEOKOMPOZÝT SAN. MÜH. TÝC. A.Þ.
191;GEOSER YAPI YALITIM ÝNÞ. TAAH. OTOM. ÝTH.ÝHR.SAN. VE TÝC. LTD. ÞTÝ.
192;GERB SCHWINGUNGSISOLIERUNGEN GMBH & CO. KG
193;GLASSTECH TRADING CO LTD
194;GLOBAL ENTERPRISE SUNFORGE ÝÇ VE DIÞ TÝC. LTD. ÞTÝ.
195;GOLDFÝX YAPI KÝMYASALLARI A.Þ.
196;GOOTREND SANAL MAÐAZACILIK VE ELEKTRONÝK A.Þ.
197;GRAND ÇELÝK KAPI
198;GURBETÇÝLER PLASTÝK SAN. VE TÝCARET A. Þ.
199;GÜRDAÐ TRADING & INDUSTRY LTD
200;GÜRDAL ÇELÝK KAPI A.Þ.
201;HALAT BRANDA SAN TÝC AÞ
202;HAN POLÝKARBON ÝNÞAAT SAN. VE TÝC. A.Þ.
203;HAN ÞÖMÝNE VE BACA SÝSTEMLERÝ ÝNÞ. SAN. TÝC. A.Þ.
204;HARE GRUP AHÞAP YAPI SÝST. ÝNÞ. TAAH. SAN. TÝC. LTD. ÞTÝ.
205;HASAN ONALT SANAYÝ LTD.
206;HAÞEP ENTEGRE ORMAN ÜRÜNLERÝ SAN. VE TÝC. A.Þ.
207;HASKA ÇELÝK KAPI VE MOBILYA SAN. TÝC. LTD. ÞTÝ.
208;HC YASSI METAL ÜRÜNLERÝ SAN. VE TÝC. LTD. ÞTÝ.
209;HEBEI FUHUA WANSHIXING HARDWARE AND WIRE MESH PRODUCTS CO.,LTD.
210;HEBEI JINGAO FIBERGLASS PRODUCTS CO.,LTD
211;HG ASMA TAVAN VE YAPI ELEN. SAN. TÝC. LTD. ÞTÝ.
212;HOROZ DEMÝR SAN. TÝC. LTD.ÞTÝ.
213;HOUSEWELL ENTERPRISE CO., LTD.
214;HTTF ASMA GERME MEMBRAN SÝSTEMLER
215;ÝDEAL KABÝN / VEGA YAPISAL
216;ÝNANÇ BANT
217;INOHOM AKILLI EV SÝSTEMLERÝ
218;INTERO DECO GROUP LLC
219;IÞIK AHÞAP PROFÝL LOJÝSTÝK SAN. TÝC. A.Þ.
220;IÞIK GROUP
221;IÞIKLAR TUÐLA
222;ÝS-KA ÝSKELE & KALIP
223;ÝSKELE KALIP SANAYÝCÝLERÝ DERNEÐÝ (ÝKSD)
224;ÝSTANBUL ÝNÞAATÇILAR DERNEÐÝ ÝKTÝSADÝ ÝÞLETMESÝ
225;ÝSTON A. Þ.
226;ÝSTWELD HIRDAVAT TÝC. LTD. ÞTÝ.
227;ITM KALIP SAN. VE DIÞ TÝC. LTD. ÞTÝ.
228;ÝZOFEN PLASTÝK SANAYÝ TÝC. A.Þ
229;ÝZOLE KÝREMÝT SAN. VE TÝC. A.Þ.
230;ÝZOPÝYER
231;ÝZOPLAST HITECH PANEL PLASTÝK DIÞ TÝC.A.Þ.
232;JAGUAR PLYWOOD
233;JAVA PLASTÝK SAN. VE TÝC. A.Þ.
234;JERSEY MANUFACTURING
235;JÝANAN ÝNÞAAT ÝÇ VE DIÞ TÝC. LTD.ÞTÝ
236;JIANGSU TIANYU FIBRE CO.,LTD
237;JIAOYANG WELDING INDUSTRIES HEBEI CO., LTD.
238;KANAT EL ARABASI
239;KAPELLA BACA ÝNÞAAT SAN. TÝC. LT. ÞT.
240;KAPTAÞ STONE AND MOSAIC DOÐALTAÞ ÜRETÝM PAZARLAMA SAN. TÝC. LTD. ÞTÝ.
241;KAR PASLANMAZ ÇELÝK ÝNÞ. ÝÇ VE DIÞ TÝC. LTD. ÞTÝ.
242;KAR PLUS ÝNÞ. MLZ SAN. VE TÝC. LTD. ÞTÝ.
243;KARBOMÝT POLÝMER PLASTÝK SAN. VE TÝC. A.Þ.
244;KARITEX TEKSTIL ITH. IHR. SAN. TÝC. LTD. ÞTÝ.
245;KARUM BÝLÝÞÝM SAN. TÝC. LTD. ÞTÝ.
246;KAYASU MODÜLER SIVI DEPOLAMA SÝSTEMLERÝ A.Þ.
247;KAYGUN ÇELÝK METAL
248;KEÇELÝ TEL ÖRGÜ VE PANEL ÇÝT SÝSTEMLERÝ
249;KEMERLÝ METAL A.Þ.
250;KERMÝT PLASTÝK AÞ.
251;KIBRIS TÜRK SANAYÝ ODASI
252;KIRIMCI  METAL FORM SAN. TÝC. A.Þ.
253;KIVIRCIK PLASTÝK SAN. TÝC. LTD. ÞTÝ.
254;KÖKSAL KARDEÞLER ÝNÞ. MALZ. ÝMALAT SAN. TÝC. LTD. ÞTÝ.
255;KOMPOZÝT SANAYÝCÝLERÝ DERNEÐÝ
256;KONAK DEMÝR ÇELÝK SAN. VE TÝC. LTD. ÞTÝ.
257;KOPUZLAR EVA KAUÇUK ÜRÜNLERÝ GERÝ DÖNÜÞÜM SAN. VE TÝC. A. Þ.
258;KÖSEDAÐ TEL ÖRME A.Þ.
259;KÖSTER YAPI KÝMYASALLARI A.Þ.
260;KOZELÝNE
261;KULE CONCEPT
262;KULE ÝNÞAAT PROJE TAAH TÝC LTD ÞTÝ
263;KUMTEL
264;LADÝK ORMAN ÜRÜNLERÝ ÝNÞ. PLASTÝK SAN. VE TÝC. LTD.ÞTÝ.
265;LAMASAT GROUP DIÞ. TÝC. SAN. LTD. ÞTÝ.
266;LANGFANG YUESEN ALUMINUM FOIL COMPOSITE MATERIAL CO.,LTD.
267;LÝDER DEKORATÝF DEMÝR ÜRÜN. NAK. ÝNÞ. SAN. TÝC. LTD. ÞTÝ.
268;"LIMITED LIABILITY COMPANY ""DIO"""
269;LIMITED LIABILITY PARTNERSHIP HOLZ HOUSE
270;LINYI ZHONGPING INDUSTRIAL AND TRADING CO.,LTD
271;LITONG INT'L HOLDINGS (GROUP) LTD.
272;LLC BELKA
273;LLC MARROB RUS
274;LSK YAPISAL AHÞAP VE ORMAN ÜRÜN. SAN. TÝC. LTD. ÞTÝ.
275;LUXELL A.Þ.
276;MAGNUM ALEKSANDRA TYSZKA-FILIPEK SP. Z O.O.
277;MALTEPE DEMÝR
278;MARSELEVATOR DIÞ TÝC. VE SAN. A.Þ.
279;MASÝALUX AYDINLATMA SAN. VE TÝC. A.Þ.
280;MASTER BOYA MALZEMELERÝ SAN. VE TÝC. A.Þ.
281;MASTER EPOKSÝ BOYA ELEKT. ÝNÞ. GIDA SAN. VE TÝC. LTD. ÞTÝ.
282;MAYR-MELNHOF HOLZ HOLDING AG
283;MEDMAR STONE
284;MELONÝ SARI MAMÜLLERÝ ÝMALAT SAN. A.Þ.
285;MERKÜR GOLD
286;MERLOT MERMER SAN. TÝC. A.Þ.
287;MERTOÐLU KENT MOBÝLYALARI A.Þ.
288;METAL20 DEMÝR ÇELÝK VE SANATSAL ÜRÜNLER SAN. VE TÝC. A.Þ
289;METAMAR A.Þ
290;METAPANEL YAPI ELEMANLARI SAN. VE TÝC. A.Þ.
291;METE PANEL YAPI SÝS. TUR. OTOM. ÝNÞ. TAAH. VE TÝC. LTD. ÞTÝ.
292;METEK YAPI SÝSTEMLERÝ SAN. VE TÝC. LTD.ÞTÝ.
293;MHT ENDUSTRÝ METAL SAN TÝC LTD ÞTÝ
294;MÝLPAÞ PLASTÝK YAPI MALZEMELERÝ SAN. VE TÝC. A.Þ.
295;MÝLTAÞ ÝNÞ. TÝC. VE MADENCÝLÝK TÝC. A.Þ.
296;MIRKA TURKEY ZIMPARA LTD ÞTÝ
297;MKB ÇATI SÝSTEMLERÝ
298;MKS METAL KAPI VE KEPENK SÝSTEMLERÝ SAN. TÝC. LTD. ÞTÝ.
299;MOD TASARIM A.Þ.
300;MSA SPOR VE KENT EKÝPMANLARI SAN. TÝC. LTD. ÞTÝ.
301;MWM TECHNIC
302;MY KOMPOZÝT LTD. ÞTÝ.
303;NAMSA YAPI MALZEMELERÝ SAN. TÝC. LTD. ÞTÝ
304;NATILON
305;ND UMUT ELEKTRONÝK METAL PLASTÝK SAN.VE TÝC. LTD. ÞTÝ.
306;NEOX SÝLÝKON KÖPÜK (EFECE YAPI KÝMYASALLARI ALÜMÝNYUM TÝC.VE SAN.LTD.ÞTÝ.)
307;NESA SÝSTEM YAPI ÝNÞ. SAN. ÝÇ VE DIÞ TÝC. AÞ.
308;NET ZEMÝN KAPLAMALARI
309;NINGBO HEYUAN MAGNETIC INDUSTRY CO.,LTD
310;NORMO METAL
311;NOVAWOOD
312;NT KOÇAK METAL SAN. TARIM GIDA ÝNÞ. NAK. TEKST. SAN. VE TÝC. LTD. ÞTÝ.
313;NTN PLASTÝK ÝTHALAT ÝHRACAT SAN. TÝC. LTD. ÞTÝ.
314;ÖKTO ÖZEL KÝMYASALLAR TOPTAN TEDARÝK SAN. VE TÝC. LTD. ÞTÝ.
315;OMNÝS KOMPOZÝT LTD.
316;ONALTI METAL OTOMOTÝV YAN SAN. VE TÝC. LTD. ÞTÝ.
317;ONMET YAPI ÜRETÝM TAAH. SAN. LTD. ÞTÝ.
318;ONNOX
319;ONPO MADENCÝLÝK ÝNÞAAT SAN. VE TÝC. A.Þ.
320;ONUR EK PARÇALARI VE PLASTÝK BORU SAN. DIÞ TÝC. LTD.ÞTÝ
321;ONUR KÝREMÝT
322;OOO BI EKS DZHI
323;OPAL ÝNÞAAT TUR. ÇELÝK KONSTRÜKSÝYON SAN. TÝC. A.Þ.
324;OTTE END. ÝDZOLASYON MATB. KAÐIT VE KÝMY. MAD. AN. VE TÝC. LTD. ÞTÝ.
325;OTTOMAN SANAYÝ VE DIÞ TÝC.A.Þ.
326;ÖZDEKAN KAUÇUK ÝNÞ. YAPI PROJE MÜH. MÜÞ. MÜM. ÝTH. ÝHR. SAN. VE TÝC. A.Þ.
327;ÖZDEMÝRBAÐLAR METAL ÝNÞ.AMB.PLAS.ÝMALAT GERÝ DÖN. SAN.TÝC.LTD.ÞTÝ.
328;ÖZLER KALIP VE ÝSKELE SÝSTEMLERÝ
329;ÖZSELÝN DELÝKLÝ SAC SAN.VE TÝC.LTD.ÞTÝ.
330;PANASTONE
331;PANDOMUR MOBILIER & DESIGN SRL
332;PANELDER - YALITIMLI KONTÝNÜ PANEL ÜRETÝCÝLERÝ DERNEÐÝ
333;PENCERE VE KAPI SEKTÖRÜ DERNEÐÝ (PÜKAD)
334;PENCERE YAYINCILIK
335;PENMATÝK HAVALANDIRMA KLÝMA HIRDAVAT ÝNÞAAT VE DIÞ TÝC. LTD. ÞTÝ.
336;PENOVSKAYA WOODWORKING FACTORY (LLC DISCOVERY -PENO)
337;PERPA ISITMA SOÐUTMA DOÐALGAZ SAN. VE TÝC. LTD. ÞTÝ
338;PETEK KONTRPLAK
339;PÝNA FÝBER HAVUZ SÝSTEMLERÝ
340;PINARDAÐ ENDÜSTRÝ ENJ. ORMAN ÜRN. ÝTHALAT VE ÝHRACAT LTD. ÞTÝ.
341;PÝVOT DOOR
342;PLASMET YAPI
343;POLDE PLASTÝK SAN. VE TÝC. A.Þ.
344;POLI?YAP PLASTI?K KI?MYA I?NS?. SAN. TI?C. LTD. S?TI?.
345;POLURE
346;POLYFIBERS
347;PORTÝSAN PORTATÝF ÇELÝK ÝSKELE KALIP SAN. VE TÝC. A.Þ.
348;PORVÝL ÇATI MALZ. ÜRETÝM PAZ. SAN. VE TÝC. LTD. ÞTÝ.
349;POTECH MAKÝNA ÝMALAT SAN.TÝC.LTD.ÞTÝ
350;PRO BRIXIA
351;PROMAST KÝMYA SAN. VE TÝC. A.Þ.
352;PROPLAS PROFÝL PLASTÝK
353;PROPLAST KAPI PENCERE SÝST. PAZ. SAN. VE TÝC. LTD. ÞTÝ.
354;PROTAN TURKEY YALITIM SANAYÝ VE TÝCARET A.Þ.
355;PROTECH GLOBAL YALITIM
356;PT DEXTONE LEMINDO
357;QATAR ALUMINIUM EXTRUSION COMPANY (QALEX)
358;QATAR GERMAN PIPES COMPANY
359;QATAR PROFILES AND FALSE CEILINGS FACTORY (QAPROFIL)
360;QATAR WIRE PRODUCTS CO. LLC
361;QATAR DEVELOPMENT BANK
362;QB DOOR TÝC. LTD. ÞTÝ.
363;QPLASTICS FACTORY W.L.L.
364;QUANZHOU CITY SANLIAN MACHINERY MANUFACTURE CO LTD.
365;RAF AHÞAP MALZEMELERÝ SAN. VE TÝC. LTD.ÞTÝ.
366;RAMSOY STRAFOR DUVAR PANELLERÝ VE SÖVE
367;REDÝKS YAPI MALZEMELERÝ PAZ.A.Þ.
368;RETRO FLOORING
369;REVESTECH WATERPROOFING SYSTEMS
370;RÝBAT PANEL
371;RITAL ULUSLARARASI DIÞ TÝC. LTD. ÞTÝ.
372;ROLLFEN MÜHENDÝSLÝK MAKÝNA SAN. VE TÝC. LTD. ÞTÝ.
373;ROLLPANEL YALITIM VE ÝNÞAAT MALZ. SAN. VE TÝC. A.Þ.
374;ROTHO BLAAS TURKEY DIÞ TÝCARET LTD. ÞTÝ.
375;RUSLESEXPORT LLC
376;RUSSKIY LES LLC
377;S&P AFS HAVALANDIRMA SÝSTEMLERÝ A.Þ.
378;ÞAHANLAR AHÞAP
379;SALVADOR PAINT
380;SAMET KALIP VE MADENÝ EÞYA SAN. VE TÝC. A.Þ.
381;SARAYLI MADENÝ EÞYA A.Þ.
382;SARPAN ORMAN ÜRÜNLERÝ SAN. TÝC. A.Þ.
383;SAVAS CELÝK ELEK URETIM PAZ. LTD. STÝ.
384;SB ÞÖMÝNE BARBEKÜ ÝNÞAAT SANAYÝ VE TÝC. LTD. ÞTÝ.
385;SCAFFORM METAL OTOM. TÝC. LTD. ÞTÝ.
386;SCIENTIFIC FLOOR TEKNÝK YAPI MALZEMELERÝ LTD.ÞTÝ.
